timestamp,system_alarm,true_label,sensor_alarm_count
1572346800,0,0,0
1572346801,1,0,2
1572346802,0,0,0
1572346803,1,0,4
1572346804,1,0,2
1572346805,1,0,4
1572346806,1,0,2
1572346807,1,0,5
1572346808,1,0,1
1572346809,1,0,7
1572346810,1,0,1
1572346811,1,0,6
1572346812,1,0,1
1572346813,1,0,3
1572346814,1,0,2
1572346815,1,0,5
1572346816,1,0,2
1572346817,1,0,5
1572346818,1,0,4
1572346819,1,0,5
1572346820,1,0,2
1572346821,1,0,2
1572346822,1,0,2
1572346823,1,0,8
1572346824,1,0,1
1572346825,1,0,3
1572346826,1,0,1
1572346827,1,0,9
1572346828,1,0,2
1572346829,1,0,6
1572346830,1,0,1
1572346831,1,0,5
1572346832,1,0,1
1572346833,1,0,2
1572346834,1,0,2
1572346835,1,0,8
1572346836,1,0,5
1572346837,1,0,3
1572346838,1,0,1
1572346839,1,0,6
1572346840,1,0,1
1572346841,1,0,5
1572346842,1,0,2
1572346843,1,0,5
1572346844,1,0,3
1572346845,1,0,4
1572346846,1,0,3
1572346847,1,0,7
1572346848,1,0,3
1572346849,1,0,5
1572346850,1,0,1
1572346851,1,0,5
1572346852,1,0,3
1572346853,1,0,6
1572346854,1,0,1
1572346855,1,0,9
1572346856,1,0,2
1572346857,1,0,2
1572346858,1,0,7
1572346859,1,0,6
1572346860,1,0,1
1572346861,1,0,7
1572346862,1,0,2
1572346863,1,0,8
1572346864,1,0,2
1572346865,1,0,4
1572346866,1,0,1
1572346867,1,0,7
1572346868,1,0,4
1572346869,1,0,6
1572346870,1,0,2
1572346871,1,0,6
1572346872,1,0,3
1572346873,1,0,7
1572346874,0,0,0
1572346875,1,0,6
1572346876,1,0,3
1572346877,1,0,4
1572346878,1,0,4
1572346879,1,0,9
1572346880,1,0,2
1572346881,1,0,3
1572346882,1,0,3
1572346883,1,0,8
1572346884,1,0,3
1572346885,1,0,3
1572346886,1,0,3
1572346887,1,0,8
1572346888,1,0,4
1572346889,1,0,4
1572346890,1,0,3
1572346891,1,0,7
1572346892,1,0,2
1572346893,1,0,7
1572346894,1,0,2
1572346895,1,0,6
1572346896,1,0,5
1572346897,1,0,3
1572346898,1,0,3
1572346899,1,0,7
1572346900,1,0,3
1572346901,1,0,3
1572346902,1,0,3
1572346903,1,0,7
1572346904,1,0,2
